labels_used,accuracy_random_sampling,f1_random_sampling,recall_random_sampling,precision_random_sampling,auc_random_sampling,accuracy_uncertainty_sampling,f1_uncertainty_sampling,recall_uncertainty_sampling,precision_uncertainty_sampling,auc_uncertainty_sampling,accuracy_llm_sampling,f1_llm_sampling,recall_llm_sampling,precision_llm_sampling,auc_llm_sampling
1300,0.9289883268482491,0.08368200836820083,0.05405405405405406,0.18518518518518517,0.7523656806168016,0.9390402075226978,0.06930693069306931,0.03783783783783784,0.4117647058823529,0.744416993744348,0.9124513618677043,0.16149068322981366,0.14054054054054055,0.1897810218978102,0.7565665700194848
1350,0.9302853437094682,0.12955465587044535,0.08648648648648649,0.25806451612903225,0.7631112312726662,0.9396887159533074,0.07920792079207921,0.043243243243243246,0.47058823529411764,0.7393919618134864,0.9127756160830091,0.15141955835962145,0.12972972972972974,0.18181818181818182,0.754534182336873
1400,0.9302853437094682,0.11522633744855967,0.07567567567567568,0.2413793103448276,0.7619085798457996,0.9383916990920882,0.06862745098039216,0.03783783783783784,0.3684210526315789,0.7328883212291284,0.9173151750972762,0.19047619047619047,0.16216216216216217,0.23076923076923078,0.7624455776922144
1450,0.9286640726329443,0.08333333333333333,0.05405405405405406,0.18181818181818182,0.7713638440095839,0.9396887159533074,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.7393602640239412,0.9092088197146563,0.15151515151515152,0.13513513513513514,0.1724137931034483,0.7583733440235683
1500,0.9293125810635539,0.06837606837606838,0.043243243243243246,0.16326530612244897,0.7816973234013593,0.9390402075226978,0.06930693069306931,0.03783783783783784,0.4117647058823529,0.7452635111827938,0.9140726329442282,0.1640378548895899,0.14054054054054055,0.19696969696969696,0.755345272834062
1550,0.9319066147859922,0.10256410256410256,0.06486486486486487,0.24489795918367346,0.7566616633881208,0.9390402075226978,0.06930693069306931,0.03783783783783784,0.4117647058823529,0.7332780175829502,0.9118028534370947,0.17575757575757575,0.15675675675675677,0.2,0.7656228149501694
1600,0.9260700389105059,0.088,0.05945945945945946,0.16923076923076924,0.7749736628660396,0.9383916990920882,0.06862745098039216,0.03783783783783784,0.3684210526315789,0.720604495492388,0.9101815823605707,0.16314199395770393,0.14594594594594595,0.18493150684931506,0.7604579398301371
1650,0.9270428015564203,0.06639004149377593,0.043243243243243246,0.14285714285714285,0.7757642430288172,0.9383916990920882,0.06862745098039216,0.03783783783783784,0.3684210526315789,0.7330766433905448,0.9101815823605707,0.16314199395770393,0.14594594594594595,0.18493150684931506,0.7613417487856949
1700,0.9296368352788587,0.0995850622406639,0.06486486486486487,0.21428571428571427,0.7694750286678538,0.9393644617380026,0.07881773399014778,0.043243243243243246,0.4444444444444444,0.7469080670874393,0.9101815823605707,0.17313432835820897,0.15675675675675677,0.19333333333333333,0.7586231971882196
1750,0.930609597924773,0.09322033898305085,0.05945945945945946,0.21568627450980393,0.7766349999533857,0.938715953307393,0.05970149253731343,0.032432432432432434,0.375,0.7566001323848858,0.9098573281452659,0.147239263803681,0.12972972972972974,0.1702127659574468,0.7673605996475952
1800,0.9309338521400778,0.09361702127659574,0.05945945945945946,0.22,0.7662138854963967,0.9380674448767834,0.06829268292682927,0.03783783783783784,0.35,0.754481974212916,0.9092088197146563,0.15151515151515152,0.13513513513513514,0.1724137931034483,0.7641721749345067
1850,0.9302853437094682,0.100418410041841,0.06486486486486487,0.2222222222222222,0.7741924055825401,0.9396887159533074,0.07920792079207921,0.043243243243243246,0.47058823529411764,0.7612951343893047,0.9036964980544747,0.1391304347826087,0.12972972972972974,0.15,0.7691244884069997
1900,0.9293125810635539,0.09917355371900827,0.06486486486486487,0.21052631578947367,0.7722681632995534,0.938715953307393,0.06896551724137931,0.03783783783783784,0.3888888888888889,0.762453035995637,0.9072632944228275,0.1437125748502994,0.12972972972972974,0.1610738255033557,0.7660106467281356
1950,0.9280155642023347,0.0975609756097561,0.06486486486486487,0.19672131147540983,0.7745504041468168,0.9383916990920882,0.06862745098039216,0.03783783783783784,0.3684210526315789,0.7716043742949572,0.9062905317769131,0.13213213213213212,0.11891891891891893,0.14864864864864866,0.779016063320996
