labels_used,accuracy,f1,recall,precision,auc,sim_id,seed
1850,0.9247730220492867,0.072,0.04864864864864865,0.13846153846153847,0.7564752058025601,3,45
1900,0.9286640726329443,0.12,0.08108108108108109,0.23076923076923078,0.7685185012539272,3,45
1950,0.9260700389105059,0.10236220472440945,0.07027027027027027,0.18840579710144928,0.75839385435798,3,45
2000,0.9250972762645915,0.0796812749003984,0.05405405405405406,0.15151515151515152,0.7508143535049364,3,45
2050,0.9276913099870299,0.0823045267489712,0.05405405405405406,0.1724137931034483,0.7676738483913371,3,45
2100,0.9280155642023347,0.08264462809917356,0.05405405405405406,0.17543859649122806,0.7604038671303246,3,45
2150,0.9302853437094682,0.09282700421940929,0.05945945945945946,0.21153846153846154,0.7695980906743239,3,45
2200,0.9299610894941635,0.11475409836065574,0.07567567567567568,0.23728813559322035,0.7611310517140113,3,45
2250,0.9312581063553826,0.1092436974789916,0.07027027027027027,0.24528301886792453,0.7821224466964378,3,45
2300,0.932230869001297,0.13278008298755187,0.08648648648648649,0.2857142857142857,0.7816488444291134,3,45
2350,0.9335278858625162,0.14937759336099585,0.0972972972972973,0.32142857142857145,0.7779402030523107,3,45
2400,0.9312581063553826,0.12396694214876033,0.08108108108108109,0.2631578947368421,0.7784455031091801,3,45
2450,0.9302853437094682,0.13654618473895583,0.0918918918918919,0.265625,0.7795642486225447,3,45
200,0.9231517509727627,0.07782101167315175,0.05405405405405406,0.1388888888888889,0.6061316577011645,4,46
250,0.9182879377431906,0.09352517985611511,0.07027027027027027,0.13978494623655913,0.6154647921464066,4,46
300,0.9108300907911803,0.07407407407407407,0.05945945945945946,0.09821428571428571,0.6285680989716864,4,46
350,0.9169909208819714,0.05185185185185185,0.03783783783783784,0.08235294117647059,0.6129065940725134,4,46
400,0.9263942931258107,0.0502092050209205,0.032432432432432434,0.1111111111111111,0.6623187865340332,4,46
450,0.9182879377431906,0.05970149253731343,0.043243243243243246,0.0963855421686747,0.6757539878616112,4,46
500,0.9212062256809338,0.039525691699604744,0.02702702702702703,0.07352941176470588,0.6852670538769193,4,46
550,0.9238002594033723,0.05622489959839357,0.03783783783783784,0.109375,0.6903125961421925,4,46
600,0.9218547341115434,0.07662835249042145,0.05405405405405406,0.13157894736842105,0.7036200740236616,4,46
650,0.9238002594033723,0.08560311284046693,0.05945945945945946,0.1527777777777778,0.7136421692475504,4,46
700,0.914396887159533,0.07042253521126761,0.05405405405405406,0.10101010101010101,0.7270783028630563,4,46
750,0.9228274967574579,0.11851851851851852,0.08648648648648649,0.18823529411764706,0.7212421804350055,4,46
800,0.9254215304798963,0.09448818897637795,0.06486486486486487,0.17391304347826086,0.7078675778227349,4,46
850,0.9263942931258107,0.11673151750972763,0.08108108108108109,0.20833333333333334,0.7190904598976349,4,46
900,0.9254215304798963,0.09448818897637795,0.06486486486486487,0.17391304347826086,0.7326701658540223,4,46
950,0.9260700389105059,0.088,0.05945945945945946,0.16923076923076924,0.7247363955884136,4,46
1000,0.9280155642023347,0.10483870967741936,0.07027027027027027,0.20634920634920634,0.7346503454126773,4,46
